word,0,1,2,3,4,5,6,7,8,9,total,gini
,41,55,135,62,92,62,121,36,92,1,697,0.869321070626522
adding,88,57,26,124,22,81,126,34,89,50,697,0.8733185264167604
sending,41,91,56,81,29,88,175,69,58,6,694,0.8608285094967985
waiting,38,94,74,29,67,95,99,88,34,76,694,0.8866612960825188
updating,347,33,41,71,23,34,78,16,45,7,695,0.7136400807411625
setting,108,52,33,73,28,115,122,22,131,10,694,0.8600104643340614
invalid,19,21,209,60,110,60,33,24,161,0,697,0.8119240277557641
failed,16,32,310,48,169,33,25,9,55,0,697,0.7260960583274496
start,57,145,33,46,19,31,79,26,36,223,695,0.8204171626727395
ignoring,26,33,107,85,105,111,83,7,139,0,696,0.8554052715021799
could,7,15,265,56,209,40,17,8,80,0,697,0.7413201484534045
exception,19,27,417,25,173,9,6,5,13,0,694,0.5726150038618376
error,10,29,307,29,239,13,31,11,27,0,696,0.6797545910952569
removing,137,57,54,103,16,101,110,28,87,5,698,0.8635520233824024
not,22,17,82,63,52,128,110,26,200,0,700,0.8299387755102041
caught,17,34,309,27,243,15,18,18,15,0,696,0.6742427995772229
got,44,62,118,62,106,74,98,51,77,3,695,0.8790890740644894
found,9,28,51,197,34,103,91,39,145,0,697,0.825307888491156
using,21,70,42,87,18,113,142,20,175,7,695,0.8364370374204233
starting,99,206,31,55,15,54,111,57,35,32,695,0.8402090989079241
cannot,14,18,200,72,143,69,38,15,129,0,698,0.8168652145713089
unable,10,13,285,66,142,34,18,5,124,0,697,0.7470302114617062
creating,25,110,34,83,23,57,175,40,90,56,693,0.8583880445352307
unexpected,46,54,316,34,160,20,27,10,32,0,699,0.7259583995939427
received,106,67,81,74,34,74,132,23,105,0,696,0.8691785572730876
created,30,87,86,89,32,69,197,35,73,1,699,0.8466335517119286
no,22,25,58,160,30,105,72,17,209,1,699,0.8134408239033486
gini total:,0.8073044763016584
